type,impact,score,title,title length,subtitle,description,notes
impact,Social,-1,Smells fishy!,22,Fake 'fish farm' owes £8 million in tax,"Landpoint Investments has come under fire for using its status as a ""fish farm"" to claim millions in tax subsidies. CEO Natalie Pemberton-Smith denies the error saying, ""We do own ponds and our developments, like the Schumpeter Shopping Mall, include fish vendors.""",
impact,Social,-1,Nursing a grievance,19,Nursing homes at breaking point,"Nursing home staff are likely to strike at overcrowding and under staffing in Sheridan's two nursing homes. ""When is Mayor Brump going to deliver on his election promise to build a new nursing home for Sheridan?"" asks mayoral candidate Les Lessig.",
impact,Social,-2,Council in the red,18,£5 million black hole in local council budget,"Mayor Brump is on the back foot today after £5 million black hole discovered in the latest budget. ""Too many mysterious consultants and quiet handouts on Sheridan's books,"" says mayoral candidate Les Lessig.",
impact,Social,-1,Schumpeter Shame!,17,Schumpeter Shopping Mall staff forced to turn to food banks,"Two journalists went undercover at Schumpeter Shopping Mall to discover shocking employment conditions, with staff being paid less than Sheridan's living wage and forced to rely on food banks.",
impact,Social,-2,A&E shutdown,12,"""Take your emergencies elsewhere!"" says Mayor Brump","Mayor Brump has announced the closure of Sheridan General Hospital's A&E service, arguing citizens will be better served by the larger A&E facility in neighbouring Colville.",
impact,Social,-1,Watch out Brump!,16,Mayor Brump flashes Rolex,"Sheridan Mayor Bob Brump faces hard questions after being photographed leaving local diner wearing £55000 Rolex. Its alleged the Rolex was a gift from CEO of Landpoint Investments Natalie Pemberton-Smith, who is behind the construction of new Schumpeter Shopping Mall. ",
impact,Social,-1,Breathless Brump,16,The blame for pain falls mainly on the plane,"Sheridan General Hospital reports record high admittence levels for asthma attacks this winter, with even town Mayor Bob Brump needing their services following an asthma attack at a picnic. Mayor Brump blames plane trees in Well's Woods for aggravating his asthma. ",
impact,Social,-1,"You're old, Sheridan",20,Sheridan's aging population set to double in one decade,"New research from Sheridan's premier thinktank Shinsights indicate the over 60s population in Sheridan will nearly double within the next decade, as baby boomers refuse to die. 87 year old Jack Jerry says, ""This town isn't built for old people!""",
impact,Social,-2,Vote heist,10,"5,000 votes go missing with stolen caravan","The latest Sheridan election is in turmoil after a voting caravan was stolen with up to 5,000 ballots. 87 year old Jack Jerry, who has run the voting caravan for 18 years returned from his afternoon siesta to find it gone.",http://www.caravantimes.co.uk/news/people/mps/another-caravan-used-as-polling-station-$1376518.htm
impact,Environmental,-1,Tiggywinkle tragedy,19,Sheridan hedgehogs facing extinction,"The Hedgehog Summit at Sheridan's annual music festival Hedgefest will look at emergency measures to prevent the Southern White-Crested Hedgehog going extinct. Head of Sheridan Parks & Wildlife Lisa Truss urges citizens to build hedgehog superhighways in their gardens.",
impact,Environmental,-2,Floody hell!,12,Local businesses left high and (not) dry,"Sheridan High Street is under water again for the third time in eighteen months after a weekend of heavy rainfall. Dodds Cooperative was left to sandbag their own shop front after army reservists were kept busy in larger local town Colville. Schumpeter Shopping Mall says, ""We're good here!""",
impact,Environmental,-2,"Pongy Peter's Pond",23,Lessig raises stink over polluted water,Mayoral candidate Les Lessig calls out local property developer over stench from Well's Woods. Head of Sheridan Parks & Wildlife Lisa Truss enters negotiations with Landpoint Insights CEO Natalie Pemberton-Smith to clean up polluted water in Peter's Pond.,<EB note I don't know much about fracking so please correct.
impact,Environmental,-2,Snowpocalypse!,14,2 inch terror brings local bus network to its knees,"87 year old pensioner Jack Jerry was left stranded in -2C weather outside bus stop after snowfall brought Sheridan bus service to a halt. With 2 inches of snow blanketing Sheridan streets and a further inch expected overnight, Mayor Brump urges citizens to stop complaining and buy snow boots.",
impact,Environmental,-1,Take my breath away,19,Air pollution leaves asthma sufferers wheezing,Mayoral candidate Les Lessig calls for cyclists-only zones in central Sheridan after air pollution levels exceed legal limits for 56th consecutive day. Sheridan General Hospital has linked increased admissions of asthma attacks with air pollution in Sheridan.,
impact,Environmental,-1,Green around the gills,22,Skinny dipping locals left with algae infection,"Bathing water quality in Sheridan's Peter's Pond is at a record low, with Head of Sheridan Parks & Wildlife Lisa Truss urging residents not to enter the water. These warnings went unheeded by 87 year old Jack Jerry who after skinny dipping in Peter's Pond woke up with a mottled green skin condition, blamed on bacterial algae.",
impact,Environmental,-1,Ashes to dust,13,Ash dieback devastates ancient woodlands,"One of Sheridan's most popular natural attractions, Well's Woods, is facing a plague of ash dieback devastating its thousand year old trees. The precious woodlands, home to the only population of the Southern White-Crested Hedgehog and local bathing hotspot Peter's Pond, could be wiped out within the next decade.",
impact,Environmental,-1,Farmageddon!,12,Local farmers sold wrong pesticide,"Sheridan's Pikesley Farms is facing losses worth up to £20 million after incorrectly labelled organic pesticide wiped out crops. Pikesley Farms, the largest asparagus producer in the country, warns it could be ""ruined"" by pesticide supplier mistake with business going to Colville-based rival Ponting Premium Growers.",
impact,Environmental,-1,Spike in production,19,Hedgegog population blocks key business development,"The discovery of a population of endangered Southern White Crested Hedgehogs in Well's Woods has halted Landpoint Investment plans for another shopping mall. Landpoint, who acquired 18% of Well's Wood's in a deal with Sheridan Council, are in talks with Sheridan Parks and Wildlife boss Lisa Truss about next steps.",
impact,Economic,-2,Pikesley in a pickle,20,Pikesley Farms forced to close flagship store on High Street,"Pikesley Farms, the largest asparagus producer in the country, has closed its flagship store and factory for asparagus products and gifts on Sheridan's high street. Pikesley blames cheap asparagus pickles and preserves from Ponting Premium Growers for Pikesley's return to raw asparagus production.",
impact,Economic,-2,Wasted youth,12,Sheridan youth unemployment reaches 53%,"Latest demographic statistics show Sheridan has one of the highest rates of youth unemployment in the country, at 53%, as Pikesley Farm's asparagus products factory lays off staff. Local business Dodds Cooperative ties figures to rise in ""loitering youths"" playing hacky sack outside High Street store and intimidating customers.",
impact,Economic,-1,High street hijack,18,Supermarket giant dwarfs independent retailers,The opening of mega-brand Schumpeter Shopping Mall tolls the death knell for local independent retailers. Family grocer Dodds Cooperative says business has dropped by 40% since Schumpeter rolled in.,
impact,Economic,-1,The Age of Asparagus,20,Bumper asparagus crops from nearby Colville price out local growers,"Cheap Colville asparagus is in supermarkets around the country, to the chagrin of Sheridan's own Pikesley Farms, the largest producer of asparagus in the country. The bumper crops from Colville have driven down the price of local asparagus, leaving Pikesley out of pocket.",
impact,Economic,-1,Poverty wages,13,12% of Sheridan town not paid a living wage,"A labour scandal is threatening Sheridan after community hacktavists Sheridan Hacked! released a report indicating 12% of Sheridan residents aren't paid a living wage. Mayoral candidate Les Lessig calls for new regulations on businesses to resolve the issue. Sheridan Hacked! plans ""Jobs Jam"" to solve wage problems with local employers.",
impact,Economic,-1,Farm gated!,11,Protesting farmers block access to town with 200 tractors,"Farmers from Pikesley Farms, the country's largest asparagus producer, have barricaded access to Sheridan with tractors, in protest over Schumpeter Shopping Mall deals with Colville rivals Ponting Premium Growers. Local residents have been encouraged to stay at home until TractorGate has been resolved.",
impact,Economic,-1,Signal on red,13,Timetable changes threaten tourism,"Reduced train services to Sheridan threaten Sheridan's biggest tourist draw: annual classical music festival and hedgehog fundraiser Hedgefest. Speaking at the opening of the Brump Cable Car, which runs from Sheridan High Street to Schumpeter Shopping Mall, Mayor Brump urges visitors to expand their transport choices.",
impact,Economic,-2,Holy moley!,11,Super fast broadband stopped by super slow mole,The latest internet outage that affected Sheridan homes and businesses for two days has been put down to a mole chewing through a cable. Mayor Brump warns this will continue to happen until Sheridan's aging internet infrastructure can be upgraded.,
impact,Economic,-1,Pension plunder,25,Pyramid scheme pilfers precious pounds from pensioners,"Sheridan pensioners have been left out of pocket after lucrative Schumpeter Tupperware fund turns out to be an empty pyramid scheme. 87 year old Jack Jerry says, ""I've lost my pension on plastic pots."" Mayoral candidate Les Lessig claims pensioners could be looking at losses of up to 60% of their pension funds in the fall out from TuppaDisaster.",
media,Environmental,,We're opening up our geospatial data infrastructure,51,,Government has introduced new legislation requiring that all geospatial data currently on the board be open,
media,Economic,,We're opening up our product data infrastructure,48,,Government has introduced new legislation requiring that all product data currently on the board be open,
media,Social,,We're opening up our health data infrastructure,47,,Government has introduced new legislation requiring that all health data currently on the board be open,
media,Social,,We're opening up our democratic data infrastructure,51,,Government has introduced new legislation requiring that all democratic data currently on the board be open,
media,Environmental,,We're opening up our weather data infrastructure,48,,Government has introduced new legislation requiring that all weather data currently on the board be open,
